,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
holdout_DS_3_LR,0.974,0.628,0.0,0.0,0.0,0.048,0.0,0.0,1.0,1.0
holdout_DS_3_DT,0.956,0.58,0.155,0.156,0.154,0.05,0.156,0.023,0.977,0.844
holdout_DS_3_KNN,0.974,0.586,0.03,0.016,0.333,0.044,0.016,0.001,0.999,0.984
holdout_DS_3_NB,0.908,0.633,0.073,0.141,0.05,0.044,0.141,0.072,0.928,0.859
holdout_DS_3_SVM,0.974,0.656,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0
holdout_DS_3_RF,0.972,0.671,0.167,0.109,0.35,0.142,0.109,0.005,0.995,0.891
holdout_DS_3_XGB,0.972,0.687,0.188,0.125,0.381,0.167,0.125,0.005,0.995,0.875
training_DS_4_LR,0.974,0.633,0.0,0.0,0.0,0.056,0.0,0.0,1.0,1.0
training_DS_4_DT,0.948,0.544,0.072,0.078,0.068,0.032,0.078,0.029,0.971,0.922
training_DS_4_KNN,0.973,0.566,0.0,0.0,0.0,0.034,0.0,0.001,0.999,1.0
training_DS_4_NB,0.083,0.667,0.052,0.969,0.027,0.048,0.969,0.941,0.059,0.031
training_DS_4_SVM,0.974,0.62,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
training_DS_4_RF,0.972,0.698,0.105,0.062,0.333,0.093,0.062,0.003,0.997,0.938
training_DS_4_XGB,0.971,0.686,0.1,0.062,0.25,0.078,0.062,0.005,0.995,0.938
holdout_DS_4_LR,0.974,0.621,0.0,0.0,0.0,0.046,0.0,0.0,1.0,1.0
holdout_DS_4_DT,0.951,0.585,0.153,0.172,0.138,0.049,0.172,0.029,0.971,0.828
holdout_DS_4_KNN,0.974,0.594,0.03,0.016,0.333,0.045,0.016,0.001,0.999,0.984
holdout_DS_4_NB,0.911,0.629,0.076,0.141,0.052,0.044,0.141,0.068,0.932,0.859
holdout_DS_4_SVM,0.974,0.641,0.0,0.0,0.0,0.094,0.0,0.0,1.0,1.0
holdout_DS_4_RF,0.971,0.656,0.165,0.109,0.333,0.135,0.109,0.006,0.994,0.891
holdout_DS_4_XGB,0.97,0.648,0.159,0.109,0.292,0.148,0.109,0.007,0.993,0.891
training_DS_5_LR,0.974,0.633,0.0,0.0,0.0,0.057,0.0,0.0,1.0,1.0
training_DS_5_DT,0.953,0.546,0.079,0.078,0.079,0.033,0.078,0.024,0.976,0.922
training_DS_5_KNN,0.973,0.566,0.0,0.0,0.0,0.034,0.0,0.001,0.999,1.0
training_DS_5_NB,0.075,0.665,0.051,0.969,0.026,0.048,0.969,0.949,0.051,0.031
training_DS_5_SVM,0.974,0.604,0.0,0.0,0.0,0.058,0.0,0.0,1.0,1.0
training_DS_5_RF,0.972,0.689,0.104,0.062,0.308,0.087,0.062,0.004,0.996,0.938
training_DS_5_XGB,0.972,0.627,0.103,0.062,0.286,0.073,0.062,0.004,0.996,0.938
holdout_DS_5_LR,0.974,0.618,0.0,0.0,0.0,0.045,0.0,0.0,1.0,1.0
holdout_DS_5_DT,0.956,0.573,0.142,0.141,0.143,0.046,0.141,0.022,0.978,0.859
holdout_DS_5_KNN,0.974,0.594,0.03,0.016,0.333,0.045,0.016,0.001,0.999,0.984
holdout_DS_5_NB,0.912,0.627,0.069,0.125,0.047,0.044,0.125,0.067,0.933,0.875
holdout_DS_5_SVM,0.974,0.63,0.0,0.0,0.0,0.084,0.0,0.0,1.0,1.0
holdout_DS_5_RF,0.972,0.667,0.169,0.109,0.368,0.137,0.109,0.005,0.995,0.891
holdout_DS_5_XGB,0.971,0.66,0.163,0.109,0.318,0.127,0.109,0.006,0.994,0.891
training_Tabula_1_LR,0.974,0.65,0.0,0.0,0.0,0.061,0.0,0.0,1.0,1.0
training_Tabula_1_DT,0.955,0.546,0.082,0.078,0.086,0.034,0.078,0.022,0.978,0.922
training_Tabula_1_KNN,0.973,0.587,0.0,0.0,0.0,0.042,0.0,0.001,0.999,1.0
training_Tabula_1_NB,0.065,0.675,0.052,0.984,0.027,0.049,0.984,0.959,0.041,0.016
training_Tabula_1_SVM,0.974,0.596,0.0,0.0,0.0,0.063,0.0,0.0,1.0,1.0
training_Tabula_1_RF,0.972,0.701,0.104,0.062,0.308,0.086,0.062,0.004,0.996,0.938
training_Tabula_1_XGB,0.972,0.644,0.104,0.062,0.308,0.079,0.062,0.004,0.996,0.938
holdout_Tabula_1_LR,0.974,0.641,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
holdout_Tabula_1_DT,0.941,0.564,0.11,0.141,0.09,0.037,0.141,0.038,0.962,0.859
holdout_Tabula_1_KNN,0.974,0.604,0.03,0.016,0.5,0.053,0.016,0.0,1.0,0.984
holdout_Tabula_1_NB,0.901,0.656,0.089,0.188,0.059,0.048,0.188,0.08,0.92,0.812
holdout_Tabula_1_SVM,0.974,0.648,0.0,0.0,0.0,0.097,0.0,0.0,1.0,1.0
holdout_Tabula_1_RF,0.971,0.709,0.165,0.109,0.333,0.143,0.109,0.006,0.994,0.891
holdout_Tabula_1_XGB,0.971,0.68,0.163,0.109,0.318,0.122,0.109,0.006,0.994,0.891
training_Tabula_2_LR,0.974,0.645,0.0,0.0,0.0,0.06,0.0,0.0,1.0,1.0
training_Tabula_2_DT,0.959,0.547,0.073,0.062,0.087,0.034,0.062,0.017,0.983,0.938
training_Tabula_2_KNN,0.973,0.583,0.0,0.0,0.0,0.044,0.0,0.001,0.999,1.0
training_Tabula_2_NB,0.065,0.673,0.053,1.0,0.027,0.049,1.0,0.96,0.04,0.0
training_Tabula_2_SVM,0.974,0.6,0.0,0.0,0.0,0.067,0.0,0.0,1.0,1.0
training_Tabula_2_RF,0.972,0.712,0.104,0.062,0.308,0.097,0.062,0.004,0.996,0.938
training_Tabula_2_XGB,0.973,0.65,0.107,0.062,0.364,0.08,0.062,0.003,0.997,0.938
holdout_Tabula_2_LR,0.974,0.641,0.0,0.0,0.0,0.063,0.0,0.0,1.0,1.0
holdout_Tabula_2_DT,0.942,0.563,0.111,0.141,0.092,0.037,0.141,0.037,0.963,0.859
holdout_Tabula_2_KNN,0.974,0.606,0.0,0.0,0.0,0.05,0.0,0.0,1.0,1.0
holdout_Tabula_2_NB,0.897,0.658,0.086,0.188,0.056,0.048,0.188,0.084,0.916,0.812
holdout_Tabula_2_SVM,0.974,0.651,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0
holdout_Tabula_2_RF,0.972,0.692,0.169,0.109,0.368,0.143,0.109,0.005,0.995,0.891
holdout_Tabula_2_XGB,0.97,0.675,0.161,0.109,0.304,0.144,0.109,0.007,0.993,0.891
training_Tabula_3_LR,0.974,0.645,0.0,0.0,0.0,0.059,0.0,0.0,1.0,1.0
training_Tabula_3_DT,0.949,0.55,0.088,0.094,0.082,0.034,0.094,0.028,0.972,0.906
training_Tabula_3_KNN,0.973,0.576,0.029,0.016,0.25,0.044,0.016,0.001,0.999,0.984
training_Tabula_3_NB,0.061,0.675,0.052,1.0,0.027,0.048,1.0,0.964,0.036,0.0
training_Tabula_3_SVM,0.974,0.588,0.0,0.0,0.0,0.058,0.0,0.0,1.0,1.0
training_Tabula_3_RF,0.972,0.69,0.104,0.062,0.308,0.085,0.062,0.004,0.996,0.938
training_Tabula_3_XGB,0.972,0.642,0.103,0.062,0.286,0.074,0.062,0.004,0.996,0.938
holdout_Tabula_3_LR,0.974,0.642,0.0,0.0,0.0,0.064,0.0,0.0,1.0,1.0
holdout_Tabula_3_DT,0.95,0.583,0.151,0.172,0.134,0.048,0.172,0.03,0.97,0.828
holdout_Tabula_3_KNN,0.974,0.606,0.0,0.0,0.0,0.051,0.0,0.0,1.0,1.0
holdout_Tabula_3_NB,0.896,0.655,0.072,0.156,0.047,0.047,0.156,0.084,0.916,0.844
holdout_Tabula_3_SVM,0.974,0.648,0.0,0.0,0.0,0.098,0.0,0.0,1.0,1.0
holdout_Tabula_3_RF,0.971,0.683,0.165,0.109,0.333,0.139,0.109,0.006,0.994,0.891
holdout_Tabula_3_XGB,0.971,0.673,0.165,0.109,0.333,0.153,0.109,0.006,0.994,0.891
training_Tabula_4_LR,0.974,0.641,0.0,0.0,0.0,0.05,0.0,0.0,1.0,1.0
training_Tabula_4_DT,0.94,0.558,0.087,0.109,0.072,0.034,0.109,0.037,0.963,0.891
training_Tabula_4_KNN,0.973,0.582,0.0,0.0,0.0,0.039,0.0,0.001,0.999,1.0
training_Tabula_4_NB,0.056,0.674,0.052,1.0,0.027,0.047,1.0,0.969,0.031,0.0
training_Tabula_4_SVM,0.974,0.602,0.0,0.0,0.0,0.059,0.0,0.0,1.0,1.0
training_Tabula_4_RF,0.972,0.659,0.105,0.062,0.333,0.079,0.062,0.003,0.997,0.938
training_Tabula_4_XGB,0.972,0.632,0.103,0.062,0.286,0.074,0.062,0.004,0.996,0.938
holdout_Tabula_4_LR,0.974,0.642,0.0,0.0,0.0,0.062,0.0,0.0,1.0,1.0
holdout_Tabula_4_DT,0.949,0.574,0.137,0.156,0.122,0.044,0.156,0.03,0.97,0.844
holdout_Tabula_4_KNN,0.974,0.603,0.0,0.0,0.0,0.049,0.0,0.0,1.0,1.0
holdout_Tabula_4_NB,0.898,0.651,0.074,0.156,0.048,0.046,0.156,0.082,0.918,0.844
holdout_Tabula_4_SVM,0.974,0.649,0.0,0.0,0.0,0.097,0.0,0.0,1.0,1.0
holdout_Tabula_4_RF,0.972,0.69,0.167,0.109,0.35,0.136,0.109,0.005,0.995,0.891
holdout_Tabula_4_XGB,0.972,0.678,0.167,0.109,0.35,0.155,0.109,0.005,0.995,0.891
training_Tabula_5_LR,0.974,0.639,0.0,0.0,0.0,0.047,0.0,0.0,1.0,1.0
training_Tabula_5_DT,0.955,0.537,0.067,0.062,0.071,0.031,0.062,0.022,0.978,0.938
training_Tabula_5_KNN,0.973,0.568,0.0,0.0,0.0,0.037,0.0,0.001,0.999,1.0
training_Tabula_5_NB,0.057,0.668,0.052,1.0,0.027,0.047,1.0,0.968,0.032,0.0
training_Tabula_5_SVM,0.974,0.594,0.0,0.0,0.0,0.063,0.0,0.0,1.0,1.0
training_Tabula_5_RF,0.973,0.654,0.107,0.062,0.364,0.081,0.062,0.003,0.997,0.938
training_Tabula_5_XGB,0.972,0.645,0.104,0.062,0.308,0.081,0.062,0.004,0.996,0.938
holdout_Tabula_5_LR,0.974,0.641,0.0,0.0,0.0,0.056,0.0,0.0,1.0,1.0
holdout_Tabula_5_DT,0.954,0.562,0.124,0.125,0.123,0.041,0.125,0.024,0.976,0.875
holdout_Tabula_5_KNN,0.973,0.603,0.0,0.0,0.0,0.053,0.0,0.001,0.999,1.0
holdout_Tabula_5_NB,0.897,0.646,0.073,0.156,0.048,0.046,0.156,0.083,0.917,0.844
holdout_Tabula_5_SVM,0.974,0.634,0.0,0.0,0.0,0.09,0.0,0.0,1.0,1.0
holdout_Tabula_5_RF,0.972,0.694,0.167,0.109,0.35,0.132,0.109,0.005,0.995,0.891
holdout_Tabula_5_XGB,0.972,0.672,0.169,0.109,0.368,0.164,0.109,0.005,0.995,0.891
