,Unnamed: 0,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
249,holdout_DS_2_SVM,0.993,0.961,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
250,holdout_DS_2_RF,0.994,0.963,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
251,holdout_DS_2_XGB,0.994,0.961,0.956,0.916,1.0,0.933,0.916,0.0,1.0,0.084
252,training_DS_3_LR,0.994,0.966,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
253,training_DS_3_DT,0.985,0.953,0.893,0.917,0.871,0.804,0.917,0.01,0.99,0.083
254,training_DS_3_KNN,0.984,0.915,0.874,0.777,1.0,0.833,0.777,0.0,1.0,0.223
255,training_DS_3_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
256,training_DS_3_SVM,0.994,0.964,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
257,training_DS_3_RF,0.994,0.963,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
258,training_DS_3_XGB,0.994,0.96,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
259,holdout_DS_3_LR,0.994,0.964,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
260,holdout_DS_3_DT,0.985,0.952,0.893,0.914,0.873,0.804,0.914,0.01,0.99,0.086
261,holdout_DS_3_KNN,0.984,0.912,0.872,0.773,1.0,0.834,0.773,0.0,1.0,0.227
262,holdout_DS_3_NB,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
263,holdout_DS_3_SVM,0.994,0.961,0.952,0.908,1.0,0.932,0.908,0.0,1.0,0.092
264,holdout_DS_3_RF,0.994,0.958,0.954,0.914,0.997,0.928,0.914,0.0,1.0,0.086
265,holdout_DS_3_XGB,0.994,0.961,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
266,training_DS_4_LR,0.994,0.966,0.955,0.914,1.0,0.938,0.914,0.0,1.0,0.086
267,training_DS_4_DT,0.985,0.955,0.895,0.921,0.87,0.807,0.921,0.01,0.99,0.079
268,training_DS_4_KNN,0.984,0.914,0.873,0.775,1.0,0.834,0.775,0.0,1.0,0.225
269,training_DS_4_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
270,training_DS_4_SVM,0.994,0.964,0.954,0.911,1.0,0.934,0.911,0.0,1.0,0.089
271,training_DS_4_RF,0.994,0.961,0.955,0.914,1.0,0.931,0.914,0.0,1.0,0.086
272,training_DS_4_XGB,0.994,0.96,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
273,holdout_DS_4_LR,0.994,0.964,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
274,holdout_DS_4_DT,0.986,0.953,0.902,0.916,0.889,0.82,0.916,0.009,0.991,0.084
275,holdout_DS_4_KNN,0.984,0.912,0.873,0.774,1.0,0.833,0.774,0.0,1.0,0.226
276,holdout_DS_4_NB,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
277,holdout_DS_4_SVM,0.994,0.963,0.953,0.91,1.0,0.934,0.91,0.0,1.0,0.09
278,holdout_DS_4_RF,0.994,0.963,0.954,0.914,0.997,0.931,0.914,0.0,1.0,0.086
279,holdout_DS_4_XGB,0.994,0.962,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
280,training_DS_5_LR,0.994,0.965,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
281,training_DS_5_DT,0.984,0.954,0.889,0.918,0.861,0.796,0.918,0.011,0.989,0.082
282,training_DS_5_KNN,0.984,0.915,0.875,0.778,1.0,0.834,0.778,0.0,1.0,0.222
283,training_DS_5_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
284,training_DS_5_SVM,0.994,0.963,0.954,0.913,1.0,0.933,0.913,0.0,1.0,0.087
285,training_DS_5_RF,0.994,0.96,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
286,training_DS_5_XGB,0.994,0.963,0.954,0.914,0.998,0.933,0.914,0.0,1.0,0.086
287,holdout_DS_5_LR,0.994,0.963,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
288,holdout_DS_5_DT,0.983,0.953,0.884,0.917,0.852,0.787,0.917,0.012,0.988,0.083
289,holdout_DS_5_KNN,0.985,0.912,0.878,0.783,1.0,0.833,0.783,0.0,1.0,0.217
290,holdout_DS_5_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
291,holdout_DS_5_SVM,0.994,0.963,0.954,0.911,1.0,0.934,0.911,0.0,1.0,0.089
292,holdout_DS_5_RF,0.994,0.961,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
293,holdout_DS_5_XGB,0.994,0.965,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
294,training_Tabula_1_LR,0.994,0.969,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
295,training_Tabula_1_DT,0.985,0.953,0.893,0.917,0.871,0.804,0.917,0.01,0.99,0.083
296,training_Tabula_1_KNN,0.984,0.912,0.869,0.768,1.0,0.829,0.768,0.0,1.0,0.232
297,training_Tabula_1_NB,0.994,0.966,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
298,training_Tabula_1_SVM,0.994,0.963,0.954,0.911,1.0,0.934,0.911,0.0,1.0,0.089
299,training_Tabula_1_RF,0.994,0.96,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
300,training_Tabula_1_XGB,0.994,0.962,0.954,0.914,0.997,0.933,0.914,0.0,1.0,0.086
301,holdout_Tabula_1_LR,0.994,0.967,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
302,holdout_Tabula_1_DT,0.985,0.954,0.897,0.917,0.878,0.811,0.917,0.01,0.99,0.083
303,holdout_Tabula_1_KNN,0.984,0.912,0.867,0.765,1.0,0.831,0.765,0.0,1.0,0.235
304,holdout_Tabula_1_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
305,holdout_Tabula_1_SVM,0.993,0.96,0.95,0.906,1.0,0.933,0.906,0.0,1.0,0.094
306,holdout_Tabula_1_RF,0.994,0.961,0.954,0.914,0.997,0.931,0.914,0.0,1.0,0.086
307,holdout_Tabula_1_XGB,0.994,0.962,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
308,training_Tabula_2_LR,0.994,0.969,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
309,training_Tabula_2_DT,0.985,0.953,0.893,0.916,0.872,0.804,0.916,0.01,0.99,0.084
310,training_Tabula_2_KNN,0.984,0.913,0.873,0.775,1.0,0.831,0.775,0.0,1.0,0.225
311,training_Tabula_2_NB,0.994,0.966,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
312,training_Tabula_2_SVM,0.994,0.964,0.954,0.911,1.0,0.934,0.911,0.0,1.0,0.089
313,training_Tabula_2_RF,0.994,0.963,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
314,training_Tabula_2_XGB,0.994,0.962,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
315,holdout_Tabula_2_LR,0.994,0.967,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
316,holdout_Tabula_2_DT,0.983,0.952,0.885,0.916,0.857,0.79,0.916,0.012,0.988,0.084
317,holdout_Tabula_2_KNN,0.984,0.913,0.87,0.77,1.0,0.832,0.77,0.0,1.0,0.23
318,holdout_Tabula_2_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
319,holdout_Tabula_2_SVM,0.993,0.961,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
320,holdout_Tabula_2_RF,0.994,0.963,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
321,holdout_Tabula_2_XGB,0.994,0.966,0.953,0.914,0.995,0.936,0.914,0.0,1.0,0.086
322,training_Tabula_3_LR,0.994,0.969,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
323,training_Tabula_3_DT,0.985,0.953,0.896,0.916,0.877,0.809,0.916,0.01,0.99,0.084
324,training_Tabula_3_KNN,0.984,0.914,0.874,0.777,1.0,0.832,0.777,0.0,1.0,0.223
325,training_Tabula_3_NB,0.994,0.966,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
326,training_Tabula_3_SVM,0.994,0.963,0.954,0.913,1.0,0.933,0.913,0.0,1.0,0.087
327,training_Tabula_3_RF,0.994,0.962,0.955,0.914,1.0,0.931,0.914,0.0,1.0,0.086
328,training_Tabula_3_XGB,0.994,0.962,0.954,0.914,0.998,0.933,0.914,0.0,1.0,0.086
329,holdout_Tabula_3_LR,0.994,0.968,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
330,holdout_Tabula_3_DT,0.985,0.953,0.894,0.916,0.873,0.805,0.916,0.01,0.99,0.084
331,holdout_Tabula_3_KNN,0.984,0.914,0.873,0.774,1.0,0.834,0.774,0.0,1.0,0.226
332,holdout_Tabula_3_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
333,holdout_Tabula_3_SVM,0.993,0.961,0.951,0.907,1.0,0.932,0.907,0.0,1.0,0.093
334,holdout_Tabula_3_RF,0.994,0.962,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
335,holdout_Tabula_3_XGB,0.994,0.964,0.954,0.914,0.997,0.937,0.914,0.0,1.0,0.086
336,training_Tabula_4_LR,0.994,0.969,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
337,training_Tabula_4_DT,0.986,0.954,0.899,0.917,0.882,0.814,0.917,0.009,0.991,0.083
338,training_Tabula_4_KNN,0.985,0.916,0.876,0.78,1.0,0.836,0.78,0.0,1.0,0.22
339,training_Tabula_4_NB,0.994,0.966,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
340,training_Tabula_4_SVM,0.994,0.964,0.954,0.913,1.0,0.933,0.913,0.0,1.0,0.087
341,training_Tabula_4_RF,0.994,0.964,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
342,training_Tabula_4_XGB,0.994,0.959,0.953,0.914,0.995,0.933,0.914,0.0,1.0,0.086
343,holdout_Tabula_4_LR,0.994,0.968,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
344,holdout_Tabula_4_DT,0.985,0.954,0.898,0.917,0.879,0.812,0.917,0.009,0.991,0.083
345,holdout_Tabula_4_KNN,0.985,0.915,0.876,0.78,1.0,0.837,0.78,0.0,1.0,0.22
346,holdout_Tabula_4_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
347,holdout_Tabula_4_SVM,0.993,0.961,0.951,0.907,1.0,0.932,0.907,0.0,1.0,0.093
348,holdout_Tabula_4_RF,0.994,0.96,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
349,holdout_Tabula_4_XGB,0.994,0.963,0.954,0.914,0.997,0.934,0.914,0.0,1.0,0.086
350,training_Tabula_5_LR,0.994,0.969,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
351,training_Tabula_5_DT,0.987,0.955,0.909,0.917,0.9,0.831,0.917,0.008,0.992,0.083
352,training_Tabula_5_KNN,0.985,0.916,0.879,0.784,1.0,0.836,0.784,0.0,1.0,0.216
353,training_Tabula_5_NB,0.994,0.965,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
354,training_Tabula_5_SVM,0.994,0.962,0.954,0.911,1.0,0.932,0.911,0.0,1.0,0.089
355,training_Tabula_5_RF,0.994,0.962,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
356,training_Tabula_5_XGB,0.994,0.961,0.954,0.914,0.998,0.934,0.914,0.0,1.0,0.086
357,holdout_Tabula_5_LR,0.994,0.968,0.955,0.914,1.0,0.938,0.914,0.0,1.0,0.086
358,holdout_Tabula_5_DT,0.984,0.953,0.89,0.917,0.865,0.799,0.917,0.011,0.989,0.083
359,holdout_Tabula_5_KNN,0.985,0.914,0.88,0.785,1.0,0.837,0.785,0.0,1.0,0.215
360,holdout_Tabula_5_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
361,holdout_Tabula_5_SVM,0.994,0.961,0.952,0.908,1.0,0.933,0.908,0.0,1.0,0.092
362,holdout_Tabula_5_RF,0.994,0.96,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
363,holdout_Tabula_5_XGB,0.994,0.963,0.952,0.914,0.994,0.936,0.914,0.0,1.0,0.086
364,training_TabDDPM_1_LR,0.994,0.97,0.953,0.91,1.0,0.94,0.91,0.0,1.0,0.09
365,training_TabDDPM_1_DT,0.983,0.953,0.886,0.918,0.855,0.791,0.918,0.012,0.988,0.082
366,training_TabDDPM_1_KNN,0.984,0.911,0.87,0.77,1.0,0.827,0.77,0.0,1.0,0.23
367,training_TabDDPM_1_NB,0.989,0.959,0.921,0.914,0.929,0.92,0.914,0.005,0.995,0.086
368,training_TabDDPM_1_SVM,0.994,0.965,0.954,0.911,1.0,0.935,0.911,0.0,1.0,0.089
369,training_TabDDPM_1_RF,0.994,0.966,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
370,training_TabDDPM_1_XGB,0.994,0.964,0.954,0.914,0.998,0.936,0.914,0.0,1.0,0.086
371,holdout_TabDDPM_1_LR,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
372,holdout_TabDDPM_1_DT,0.983,0.951,0.885,0.914,0.858,0.79,0.914,0.011,0.989,0.086
373,holdout_TabDDPM_1_KNN,0.983,0.912,0.866,0.764,1.0,0.827,0.764,0.0,1.0,0.236
374,holdout_TabDDPM_1_NB,0.989,0.958,0.923,0.914,0.933,0.921,0.914,0.005,0.995,0.086
375,holdout_TabDDPM_1_SVM,0.994,0.963,0.953,0.91,1.0,0.934,0.91,0.0,1.0,0.09
376,holdout_TabDDPM_1_RF,0.994,0.965,0.954,0.914,0.997,0.934,0.914,0.0,1.0,0.086
377,holdout_TabDDPM_1_XGB,0.994,0.961,0.953,0.914,0.995,0.932,0.914,0.0,1.0,0.086
378,training_TabDDPM_2_LR,0.994,0.971,0.953,0.91,1.0,0.94,0.91,0.0,1.0,0.09
379,training_TabDDPM_2_DT,0.983,0.955,0.885,0.921,0.852,0.79,0.921,0.012,0.988,0.079
380,training_TabDDPM_2_KNN,0.984,0.911,0.869,0.768,1.0,0.825,0.768,0.0,1.0,0.232
381,training_TabDDPM_2_NB,0.989,0.958,0.924,0.914,0.934,0.924,0.914,0.005,0.995,0.086
382,training_TabDDPM_2_SVM,0.994,0.965,0.954,0.911,1.0,0.935,0.911,0.0,1.0,0.089
383,training_TabDDPM_2_RF,0.994,0.961,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
384,training_TabDDPM_2_XGB,0.994,0.963,0.954,0.914,0.998,0.936,0.914,0.0,1.0,0.086
385,holdout_TabDDPM_2_LR,0.994,0.968,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
386,holdout_TabDDPM_2_DT,0.98,0.95,0.866,0.914,0.823,0.759,0.914,0.015,0.985,0.086
387,holdout_TabDDPM_2_KNN,0.983,0.911,0.866,0.764,1.0,0.825,0.764,0.0,1.0,0.236
388,holdout_TabDDPM_2_NB,0.99,0.957,0.925,0.914,0.936,0.924,0.914,0.005,0.995,0.086
389,holdout_TabDDPM_2_SVM,0.994,0.963,0.953,0.91,1.0,0.935,0.91,0.0,1.0,0.09
390,holdout_TabDDPM_2_RF,0.994,0.962,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
391,holdout_TabDDPM_2_XGB,0.994,0.966,0.954,0.914,0.998,0.937,0.914,0.0,1.0,0.086
392,training_TabDDPM_3_LR,0.994,0.973,0.953,0.91,1.0,0.941,0.91,0.0,1.0,0.09
393,training_TabDDPM_3_DT,0.981,0.952,0.874,0.917,0.835,0.771,0.917,0.014,0.986,0.083
394,training_TabDDPM_3_KNN,0.984,0.911,0.868,0.767,1.0,0.824,0.767,0.0,1.0,0.233
395,training_TabDDPM_3_NB,0.99,0.958,0.925,0.914,0.937,0.924,0.914,0.005,0.995,0.086
396,training_TabDDPM_3_SVM,0.994,0.964,0.954,0.911,1.0,0.935,0.911,0.0,1.0,0.089
397,training_TabDDPM_3_RF,0.994,0.96,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
398,training_TabDDPM_3_XGB,0.994,0.961,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
399,holdout_TabDDPM_3_LR,0.994,0.97,0.953,0.91,1.0,0.938,0.91,0.0,1.0,0.09
400,holdout_TabDDPM_3_DT,0.984,0.953,0.89,0.917,0.864,0.798,0.917,0.011,0.989,0.083
401,holdout_TabDDPM_3_KNN,0.983,0.911,0.865,0.763,1.0,0.824,0.763,0.0,1.0,0.237
402,holdout_TabDDPM_3_NB,0.99,0.957,0.927,0.914,0.94,0.924,0.914,0.004,0.996,0.086
403,holdout_TabDDPM_3_SVM,0.994,0.964,0.953,0.91,1.0,0.935,0.91,0.0,1.0,0.09
404,holdout_TabDDPM_3_RF,0.994,0.964,0.954,0.914,0.997,0.933,0.914,0.0,1.0,0.086
405,holdout_TabDDPM_3_XGB,0.994,0.963,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
406,training_TabDDPM_4_LR,0.994,0.972,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
407,training_TabDDPM_4_DT,0.981,0.952,0.873,0.918,0.833,0.77,0.918,0.014,0.986,0.082
408,training_TabDDPM_4_KNN,0.983,0.909,0.866,0.764,1.0,0.821,0.764,0.0,1.0,0.236
409,training_TabDDPM_4_NB,0.989,0.958,0.922,0.914,0.93,0.925,0.914,0.005,0.995,0.086
410,training_TabDDPM_4_SVM,0.994,0.965,0.954,0.911,1.0,0.934,0.911,0.0,1.0,0.089
411,training_TabDDPM_4_RF,0.994,0.964,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
412,training_TabDDPM_4_XGB,0.994,0.959,0.954,0.914,0.998,0.934,0.914,0.0,1.0,0.086
413,holdout_TabDDPM_4_LR,0.994,0.97,0.954,0.911,1.0,0.938,0.911,0.0,1.0,0.089
414,holdout_TabDDPM_4_DT,0.98,0.95,0.864,0.916,0.817,0.754,0.916,0.015,0.985,0.084
415,holdout_TabDDPM_4_KNN,0.983,0.909,0.865,0.763,1.0,0.821,0.763,0.0,1.0,0.237
416,holdout_TabDDPM_4_NB,0.99,0.958,0.927,0.914,0.941,0.925,0.914,0.004,0.996,0.086
417,holdout_TabDDPM_4_SVM,0.994,0.966,0.953,0.91,1.0,0.935,0.91,0.0,1.0,0.09
418,holdout_TabDDPM_4_RF,0.994,0.961,0.954,0.914,0.997,0.933,0.914,0.0,1.0,0.086
419,holdout_TabDDPM_4_XGB,0.994,0.966,0.954,0.914,0.998,0.934,0.914,0.0,1.0,0.086
420,training_TabDDPM_5_LR,0.994,0.972,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
421,training_TabDDPM_5_DT,0.98,0.95,0.868,0.916,0.825,0.761,0.916,0.015,0.985,0.084
422,training_TabDDPM_5_KNN,0.983,0.908,0.866,0.764,1.0,0.819,0.764,0.0,1.0,0.236
423,training_TabDDPM_5_NB,0.989,0.958,0.921,0.914,0.929,0.925,0.914,0.005,0.995,0.086
424,training_TabDDPM_5_SVM,0.994,0.963,0.954,0.913,1.0,0.934,0.913,0.0,1.0,0.087
425,training_TabDDPM_5_RF,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
426,training_TabDDPM_5_XGB,0.994,0.961,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
427,holdout_TabDDPM_5_LR,0.994,0.969,0.954,0.911,1.0,0.938,0.911,0.0,1.0,0.089
428,holdout_TabDDPM_5_DT,0.98,0.951,0.866,0.917,0.82,0.757,0.917,0.015,0.985,0.083
429,holdout_TabDDPM_5_KNN,0.983,0.909,0.865,0.763,1.0,0.821,0.763,0.0,1.0,0.237
430,holdout_TabDDPM_5_NB,0.989,0.957,0.923,0.914,0.933,0.925,0.914,0.005,0.995,0.086
431,holdout_TabDDPM_5_SVM,0.994,0.964,0.953,0.91,1.0,0.933,0.91,0.0,1.0,0.09
432,holdout_TabDDPM_5_RF,0.994,0.966,0.954,0.914,0.997,0.934,0.914,0.0,1.0,0.086
433,holdout_TabDDPM_5_XGB,0.994,0.968,0.955,0.914,1.0,0.938,0.914,0.0,1.0,0.086
